X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,icon_url
133,-25,"1",Australia,"1585511274000",-25,133,"3980","16","244",./0.png
14.5501,47.5162,"2",Austria,"1585510967000",47.5162,14.5501,"8743","86","479",./0.png
-95.001,60.001,"3",Canada,"1585511260000",60.001,-95.001,"6243","64","466",./0.png
114.3055,30.5928000000001,"4",China,"1585491946000",30.5928,114.3055,"82122","3304","75582",
10,56,"5",Denmark,"1585510967000",56,10,"2564","72","73",./0.png
25.7482000000001,61.9241000000001,"6",Finland,"1585510967000",61.9241,25.7482,"1240","11","10",./1.png
2.2137,46.2276,"7",France,"1585510967000",46.2276,2.2137,"40704","2609","7226",./0.png
10.4515000000001,51.1657000000001,"8",Germany,"1585510967000",51.1657,10.4515,"61164","490","9211",
-19.0208,64.9631,"9",Iceland,"1585510967000",64.9631,-19.0208,"1020","2","114",./1.png
-7.6921,53.1424000000001,"10",Ireland,"1585510967000",53.1424,-7.6921,"2615","46","5",./0.png
12.5674000000001,41.8719,"11",Italy,"1585510967000",41.8719,12.5674,"97689","10779","13030",
5.55,52.3167,"12",Netherlands,"1585510967000",52.3167,5.55,"10930","772","253",./0.png
8.4689,60.472,"13",Norway,"1585510967000",60.472,8.4689,"4265","25","7",./0.png
105.3188,61.5240000000001,"14",Russia,"1585510967000",61.524,105.3188,"1534","8","64",./1.png
18.6435,60.1282,"15",Sweden,"1585510967000",60.1282,18.6435,"3700","110","16",./0.png
8.2275,46.8182,"16",Switzerland,"1585510967000",46.8182,8.2275,"14829","300","1595",./0.png
-3,55,"17",United Kingdom,"1585510967000",55,-3,"19772","1231","151",./0.png
-100,40,"18",US,"1585510978000",40,-100,"136880","2409","2612",
67.709953,33.93911,"19",Afghanistan,"1585510967000",33.93911,67.709953,"120","4","2",./2.png
20.1683,41.1533000000001,"20",Albania,"1585510967000",41.1533,20.1683,"212","10","33",./3.png
1.6596,28.0339,"21",Algeria,"1585510967000",28.0339,1.6596,"511","31","31",./4.png
1.5218,42.5063000000001,"22",Andorra,"1585510967000",42.5063,1.5218,"334","6","1",./3.png
17.8739,-11.2027,"23",Angola,"1585510967000",-11.2027,17.8739,"7","2","0",./5.png
-61.7963999999999,17.0608,"24",Antigua and Barbuda,"1585510967000",17.0608,-61.7964,"7","0","0",./5.png
-63.6167,-38.4161,"25",Argentina,"1585510967000",-38.4161,-63.6167,"745","19","72",./4.png
45.0382000000001,40.0691,"26",Armenia,"1585510967000",40.0691,45.0382,"424","3","30",./3.png
47.5769000000001,40.1431000000001,"27",Azerbaijan,"1585510967000",40.1431,47.5769,"209","4","15",./3.png
-78.0358889999999,25.025885,"28",Bahamas,"1585510967000",25.025885,-78.035889,"11","0","1",./6.png
50.55,26.0275,"29",Bahrain,"1585510967000",26.0275,50.55,"499","4","272",./3.png
90.3563,23.6850000000001,"30",Bangladesh,"1585510967000",23.685,90.3563,"48","5","15",./7.png
-59.5431999999999,13.1939,"31",Barbados,"1585510967000",13.1939,-59.5432,"26","0","0",./7.png
27.9534,53.7098,"32",Belarus,"1585510967000",53.7098,27.9534,"94","0","32",./7.png
4.469936,50.8333000000001,"33",Belgium,"1585510967000",50.8333,4.469936,"10836","431","1359",./0.png
-88.4976,17.1899,"34",Belize,"1585510967000",17.1899,-88.4976,"2","0","0",./5.png
2.3158,9.3077,"35",Benin,"1585510967000",9.3077,2.3158,"6","0","0",./5.png
90.4336,27.5142,"36",Bhutan,"1585510967000",27.5142,90.4336,"4","0","0",./5.png
-63.5887,-16.2902,"37",Bolivia,"1585510967000",-16.2902,-63.5887,"81","1","0",./7.png
17.6791000000001,43.9159000000001,"38",Bosnia and Herzegovina,"1585510967000",43.9159,17.6791,"323","6","8",./3.png
-51.9253,-14.235,"39",Brazil,"1585510967000",-14.235,-51.9253,"4065","118","6",./0.png
114.7277,4.5353,"40",Brunei,"1585510967000",4.5353,114.7277,"126","1","34",./2.png
25.4858,42.7339,"41",Bulgaria,"1585510967000",42.7339,25.4858,"346","8","14",./3.png
-1.5616,12.2383,"42",Burkina Faso,"1585510967000",12.2383,-1.5616,"222","12","23",./3.png
95.9560000000001,21.9162,"43",Burma,"1585510967000",21.9162,95.956,"10","0","0",./5.png
